Date_Time,active_power,reactive_power,voltage,current_intensty,active_energy_kitchen,active_energy_laundry,active_energy_ac,other_active_energy,dow,trend,seasonal,resid
2006-12-16,1209.1760000000006,34.921999999999976,93552.53000000006,5180.8000000000075,0.0,546.0,4926.0,14680.933333333334,5,,133.14160748128668,
2006-12-17,3390.46,226.0059999999994,345725.32000000024,14398.59999999998,2033.0,4187.0,13341.0,36946.666666666715,6,,104.93403674284632,
2006-12-18,2203.8259999999964,161.79199999999966,347373.6400000004,9247.199999999988,1063.0,2621.0,14018.0,19028.433333333334,0,,-93.55681763948596,
2006-12-19,1666.1940000000006,150.94199999999978,348479.01000000036,7094.000000000014,839.0,7602.0,6197.0,13131.899999999996,1,2108.5757142857137,-12.006617773530898,-430.3750965121822
2006-12-20,2225.747999999999,160.99799999999985,348923.6100000004,9312.999999999993,0.0,2648.0,14063.0,20384.800000000014,2,2617.7485714285704,-8.958347169135095,-383.0422242594361
2006-12-21,1723.2879999999993,144.43399999999997,347096.40999999945,7266.400000000001,1765.0,2692.0,10456.0,13808.46666666667,3,2497.6845714285714,-85.2560722978711,-689.140499130701
2006-12-22,2341.3379999999993,186.90600000000023,347305.7499999995,9896.999999999984,3151.0,350.0,11131.0,24390.300000000025,4,2574.7265714285727,-38.297789344109965,-195.09078208446346
2006-12-23,4773.385999999998,221.4700000000001,345795.9500000002,20200.400000000005,2669.0,425.0,14726.0,61736.433333333356,5,2898.714571428572,133.14160748128668,1741.529821090139
2006-12-24,2550.012000000007,149.89999999999992,348029.91000000044,11002.200000000104,1703.0,5082.0,6891.0,28824.200000000004,6,2799.1448571428577,104.93403674284632,-354.0668938856971
2006-12-25,2743.1200000000053,240.27999999999986,350495.8999999996,11450.199999999984,6620.0,1962.0,5795.0,31341.66666666668,0,2849.0520000000006,-93.55681763948596,-12.375182360509285
2006-12-26,3934.11,165.1019999999998,347940.63,16341.00000000001,1086.0,2533.0,14979.0,46970.5,1,2968.059714285715,-12.006617773530898,978.056903487816
2006-12-27,1528.7600000000004,178.90200000000007,351025.0000000007,6505.199999999999,0.0,314.0,6976.0,18189.333333333376,2,2685.59142857143,-8.958347169135095,-1147.8730814022942
2006-12-28,2072.638,208.8759999999999,350306.39999999997,8764.2,2207.0,4419.0,9176.0,18741.966666666678,3,2820.474857142857,-85.2560722978711,-662.5807848449862
2006-12-29,3174.3919999999966,196.39400000000023,346854.6800000001,13350.79999999996,1252.0,5162.0,11329.0,35163.533333333326,4,2821.3154285714304,-38.297789344109965,391.3743607726762
2006-12-30,2796.108000000001,312.1419999999997,346377.14999999956,11952.599999999964,3072.0,7893.0,12516.0,23120.800000000047,5,2519.9797142857155,133.14160748128668,142.98667823299886
2006-12-31,3494.1959999999995,150.85200000000012,345451.0699999999,14687.400000000001,0.0,347.0,6502.0,51387.60000000006,6,2375.5231428571446,104.93403674284632,1013.7388204000085
2007-01-01,2749.004000000016,148.16599999999983,345785.7300000003,11400.400000000038,0.0,352.0,5880.0,39584.73333333333,0,2477.4251428571456,-93.55681763948596,365.1356747823562
2007-01-02,1824.7599999999998,150.2639999999999,346164.6800000001,7678.799999999977,1170.0,386.0,13145.0,15711.666666666662,1,2261.6345714285744,-12.006617773530898,-424.8679536550438
2007-01-03,517.5640000000016,107.62799999999967,347502.8199999999,2172.8000000000075,0.0,316.0,1980.0,6330.066666666682,2,2011.6320000000026,-8.958347169135095,-1485.109652830866
2007-01-04,2785.952000000006,202.55199999999996,345635.2600000013,11735.199999999999,4629.0,5401.0,19509.0,16893.533333333326,3,1659.1274285714312,-85.2560722978711,1212.080643726446
2007-01-05,1663.8579999999988,181.60800000000032,337937.32999999943,7305.5999999999985,4005.0,995.0,8546.0,14184.966666666673,4,1418.478857142858,-38.297789344109965,283.67693220125074
2007-01-06,1046.0899999999988,143.51599999999985,338862.12,4517.399999999968,0.0,485.0,7664.0,9285.833333333328,5,1400.8682857142865,133.14160748128668,-487.91989319557433
2007-01-07,1026.6639999999995,172.44800000000012,345696.7000000002,4436.199999999991,969.0,736.0,4690.0,10716.066666666668,6,1572.776571428572,104.93403674284632,-651.0466081714187
2007-01-08,1064.4640000000022,144.95799999999977,338375.3999999999,4636.799999999945,1583.0,0.0,9812.0,6346.06666666664,0,1245.6714285714284,-93.55681763948596,-87.65061093194018
2007-01-09,1701.4859999999994,289.846,344672.2699999997,7294.1999999999925,2497.0,569.0,9733.0,15559.099999999995,1,1455.8262857142859,-12.006617773530898,257.66633205924444
2007-01-10,1720.9219999999993,146.73400000000038,344505.47999999986,7306.200000000002,1507.0,6622.0,5960.0,14593.033333333338,2,1761.644,-8.958347169135095,-31.763652830865567
2007-01-11,496.21600000000046,85.04599999999978,346951.30000000016,2067.7999999999915,0.0,293.0,1991.0,5986.266666666689,3,2044.8979999999997,-85.2560722978711,-1463.4259277021283
2007-01-12,3134.942000000002,288.89199999999977,345983.16000000027,13235.800000000005,9356.0,353.0,17847.0,24693.033333333355,4,2199.7857142857138,-38.297789344109965,973.4540750583981
2007-01-13,3186.813999999998,290.7359999999997,344568.39999999985,13612.400000000007,7806.0,2975.0,11341.0,30991.566666666677,5,2197.631142857142,133.14160748128668,856.0412496615693
